ISO3,year,score,indicator_id,source
DJI,2001,0.607800433315904,climate_readiness_score,ND-GAIN
DMA,2001,0.452832641558143,climate_readiness_score,ND-GAIN
DOM,2001,0.489387071736346,climate_readiness_score,ND-GAIN
ECU,2001,0.502848813889975,climate_readiness_score,ND-GAIN
EGY,2001,0.514380286062598,climate_readiness_score,ND-GAIN
SLV,2001,0.467663054683181,climate_readiness_score,ND-GAIN
GNQ,2001,0.474010311610049,climate_readiness_score,ND-GAIN
ERI,2001,0.631341061348461,climate_readiness_score,ND-GAIN
EST,2001,0.388546392438603,climate_readiness_score,ND-GAIN
ETH,2001,0.581235415545698,climate_readiness_score,ND-GAIN
FJI,2001,0.522671443504127,climate_readiness_score,ND-GAIN
FIN,2001,0.321250951224018,climate_readiness_score,ND-GAIN
FRA,2001,0.333580138388098,climate_readiness_score,ND-GAIN
GAB,2001,0.478720995216189,climate_readiness_score,ND-GAIN
GMB,2001,0.592049320675206,climate_readiness_score,ND-GAIN
GEO,2001,0.430546671215259,climate_readiness_score,ND-GAIN
DEU,2001,0.321288807577605,climate_readiness_score,ND-GAIN
GHA,2001,0.538416400326642,climate_readiness_score,ND-GAIN
GRC,2001,0.371808779523695,climate_readiness_score,ND-GAIN
GRD,2001,0.436191996512791,climate_readiness_score,ND-GAIN
GTM,2001,0.501230102732607,climate_readiness_score,ND-GAIN
GIN,2001,0.526891276297977,climate_readiness_score,ND-GAIN
GNB,2001,0.659217008054378,climate_readiness_score,ND-GAIN
GUY,2001,0.526291184331794,climate_readiness_score,ND-GAIN
HTI,2001,0.554949372081445,climate_readiness_score,ND-GAIN
HND,2001,0.47962457941944,climate_readiness_score,ND-GAIN
HUN,2001,0.414486504811691,climate_readiness_score,ND-GAIN
ISL,2001,0.343772015357551,climate_readiness_score,ND-GAIN
IND,2001,0.542989098498664,climate_readiness_score,ND-GAIN
IDN,2001,0.456226542581953,climate_readiness_score,ND-GAIN
IRN,2001,0.442948169853666,climate_readiness_score,ND-GAIN
IRQ,2001,0.508927635157992,climate_readiness_score,ND-GAIN
IRL,2001,0.334198397132896,climate_readiness_score,ND-GAIN
ISR,2001,0.388716608037979,climate_readiness_score,ND-GAIN
ITA,2001,0.370614883746163,climate_readiness_score,ND-GAIN
JAM,2001,0.455871418885844,climate_readiness_score,ND-GAIN
JPN,2001,0.356117679050833,climate_readiness_score,ND-GAIN
JOR,2001,0.445034427573352,climate_readiness_score,ND-GAIN
KAZ,2001,0.377101433230384,climate_readiness_score,ND-GAIN
KEN,2001,0.517193967561198,climate_readiness_score,ND-GAIN
KIR,2001,0.593896932204795,climate_readiness_score,ND-GAIN
PRK,2001,0.525936527728072,climate_readiness_score,ND-GAIN
KOR,2001,0.37898706819439,climate_readiness_score,ND-GAIN
KWT,2001,0.45896498916084,climate_readiness_score,ND-GAIN
KGZ,2001,0.389186824127052,climate_readiness_score,ND-GAIN
LAO,2001,0.558330245405753,climate_readiness_score,ND-GAIN
LVA,2001,0.406278382142699,climate_readiness_score,ND-GAIN
LBN,2001,0.492992751631874,climate_readiness_score,ND-GAIN
LSO,2001,0.527057672477563,climate_readiness_score,ND-GAIN
LBR,2001,0.587459854533792,climate_readiness_score,ND-GAIN
LBY,2001,0.487781338697364,climate_readiness_score,ND-GAIN
LIE,2001,,climate_readiness_score,ND-GAIN
LTU,2001,0.399152119977232,climate_readiness_score,ND-GAIN
LUX,2001,0.345544808179205,climate_readiness_score,ND-GAIN
MKD,2001,0.414454368117436,climate_readiness_score,ND-GAIN
MDG,2001,0.561716464609683,climate_readiness_score,ND-GAIN
MWI,2001,0.623966968906882,climate_readiness_score,ND-GAIN
MYS,2001,0.410970795504341,climate_readiness_score,ND-GAIN
MDV,2001,0.589988505484841,climate_readiness_score,ND-GAIN
MLI,2001,0.611413525578572,climate_readiness_score,ND-GAIN
MLT,2001,0.40136106315358,climate_readiness_score,ND-GAIN
MHL,2001,0.538085415967823,climate_readiness_score,ND-GAIN
MRT,2001,0.65126872759505,climate_readiness_score,ND-GAIN
MUS,2001,0.500261617824678,climate_readiness_score,ND-GAIN
MEX,2001,0.423017076721912,climate_readiness_score,ND-GAIN
FSM,2001,0.647840763349064,climate_readiness_score,ND-GAIN
MDA,2001,0.49329751957377,climate_readiness_score,ND-GAIN
MCO,2001,0.408082115124031,climate_readiness_score,ND-GAIN
MNG,2001,0.472130376573232,climate_readiness_score,ND-GAIN
MNE,2001,0.453969761829152,climate_readiness_score,ND-GAIN
MAR,2001,0.515830831183669,climate_readiness_score,ND-GAIN
MOZ,2001,0.529983430224591,climate_readiness_score,ND-GAIN
MMR,2001,0.547538956205808,climate_readiness_score,ND-GAIN
NAM,2001,0.561224277645798,climate_readiness_score,ND-GAIN
NRU,2001,0.502404836047436,climate_readiness_score,ND-GAIN
NPL,2001,0.585967547252411,climate_readiness_score,ND-GAIN
NLD,2001,0.366131918762532,climate_readiness_score,ND-GAIN
NZL,2001,0.304707864950488,climate_readiness_score,ND-GAIN
NIC,2001,0.469355822539177,climate_readiness_score,ND-GAIN
NER,2001,0.610202074615591,climate_readiness_score,ND-GAIN
NGA,2001,0.5226425040283,climate_readiness_score,ND-GAIN
NOR,2001,0.27204854716931,climate_readiness_score,ND-GAIN
OMN,2001,0.486346824417091,climate_readiness_score,ND-GAIN
PAK,2001,0.557254968635657,climate_readiness_score,ND-GAIN
PLW,2001,0.511451628367948,climate_readiness_score,ND-GAIN
PAN,2001,0.437731426106842,climate_readiness_score,ND-GAIN
PNG,2001,0.553442799710645,climate_readiness_score,ND-GAIN
PRY,2001,0.417968528917,climate_readiness_score,ND-GAIN
PER,2001,0.466713407433405,climate_readiness_score,ND-GAIN
PHL,2001,0.484555081547601,climate_readiness_score,ND-GAIN
