date,inflation_volatility_12m
2011-01-01,0.0057100707701575465
2010-12-01,0.005534763228783416
2010-11-01,0.00516068482660652
2010-10-01,0.004497353490080953
2010-09-01,0.0038771221143613596
2010-08-01,0.003702511347084008
2010-07-01,0.00423587507252855
2010-06-01,0.005332716296365588
2010-05-01,0.006700935497154645
2010-04-01,0.00812632922898964
2010-03-01,0.009461620372671242
2010-02-01,0.010583239550495678
2010-01-01,0.011361630987295994
2009-12-01,0.011632260719453206
2009-11-01,0.01159795865183157
2009-10-01,0.01106770321152221
2009-09-01,0.01018114385456857
2009-08-01,0.009039980697487758
2009-07-01,0.007728092397147406
2009-06-01,0.006323831316788351
2009-05-01,0.004912737006484406
2009-04-01,0.0036106222104514197
2009-03-01,0.0026138134383108832
2009-02-01,0.0022134277368806403
2009-01-01,0.0024173810061370476
2008-12-01,0.002735649329352146
2008-11-01,0.002709495404510223
2008-10-01,0.002560516079235138
2008-09-01,0.0023255651711643582
2008-08-01,0.0020322939137382536
2008-07-01,0.0017050582983744956
2008-06-01,0.0013696340189143612
2008-05-01,0.0010600364229273235
2008-04-01,0.0008294984538825567
2008-03-01,0.0007455767830534696
2008-02-01,0.0008139351698058747
2008-01-01,0.0009439364759232282
2007-12-01,0.0010351683435362428
2007-11-01,0.001058104641829297
2007-10-01,0.0010535889442277243
2007-09-01,0.001027762942304872
2007-08-01,0.0009851591849212823
2007-07-01,0.0009294359247982103
2007-06-01,0.0008638024716710946
2007-05-01,0.000791325377273399
2007-04-01,0.0007152118375431953
2007-03-01,0.0006391337294834067
2007-02-01,0.0005676233483615467
2007-01-01,0.0005064555301797975
2006-12-01,0.0004625778056729553
2006-11-01,0.00041275815942153055
2006-10-01,0.00037304507949346435
2006-09-01,0.000425589394665093
2006-08-01,0.0005808629935595106
2006-07-01,0.0007932362975664641
2006-06-01,0.001028414567110347
2006-05-01,0.0012661775727335776
2006-04-01,0.0014918869245499893
2006-03-01,0.0016923145228701648
2006-02-01,0.0018534221818290737
2006-01-01,0.0019583550115463547
2005-12-01,0.001984334236217774
2005-11-01,0.002036729410720149
2005-10-01,0.002043727697708344
2005-09-01,0.002014943606052378
2005-08-01,0.0019575677910312335
2005-07-01,0.0018774495762988045
2005-06-01,0.0017797345134185907
2005-05-01,0.0016693151619779447
2005-04-01,0.0015512191353074236
2005-03-01,0.0014310013253472562
2005-02-01,0.0013151592732817071
2005-01-01,0.0012114962074774587
2004-12-01,0.0011291529702705235
2004-11-01,0.0012125021873065928
2004-10-01,0.0013093049657276576
2004-09-01,0.0014131224687445043
2004-08-01,0.001518460876388335
2004-07-01,0.001620627791833295
2004-06-01,0.0017154730881527324
2004-05-01,0.001799118768139564
2004-04-01,0.0018676990736929673
2004-03-01,0.0019170918382145977
2004-02-01,0.0019425963551446843
2004-01-01,0.0019384765746633184
2003-12-01,0.0018972049601564643
2003-11-01,0.001787883255331547
2003-10-01,0.0015734210237465292
2003-09-01,0.001344338442940025
2003-08-01,0.0012115106384211298
2003-07-01,0.0012800344536574913
2003-06-01,0.0015506220387364752
2003-05-01,0.0019372928853586219
2003-04-01,0.0023608033609478444
2003-03-01,0.0027666474596620997
2003-02-01,0.0031119032387703313
2003-01-01,0.003353795108022642
2002-12-01,0.00343926990901504
2002-11-01,0.0035129747840512825
2002-10-01,0.003495859688936207
2002-09-01,0.003408283257968635
2002-08-01,0.0032652856441158008
2002-07-01,0.0030790114012598955
2002-06-01,0.0028601144498609614
2002-05-01,0.0026187709279199196
2002-04-01,0.0023656178628562426
2002-03-01,0.002112827524873462
2002-02-01,0.0018754202774126352
2002-01-01,0.0016725309323449846
2001-12-01,0.001527165781006541
2001-11-01,0.0014276883721141965
2001-10-01,0.001246383153843775
2001-09-01,0.00108038720147165
2001-08-01,0.0010449269874074985
2001-07-01,0.001208909858326559
2001-06-01,0.0015267199274104821
2001-05-01,0.0019169547826938902
2001-04-01,0.00232083972132286
2001-03-01,0.0026975100883102096
2001-02-01,0.0030121433315514687
2001-01-01,0.003227786448141814
2000-12-01,0.00329707209288208
2000-11-01,0.0033775097136956107
2000-10-01,0.003380432084883947
2000-09-01,0.003322449570428738
2000-08-01,0.003215973443147614
2000-07-01,0.0030710957958499075
2000-06-01,0.002896696473250103
2000-05-01,0.0027012314654046485
2000-04-01,0.0024934245094672207
2000-03-01,0.0022829870555549974
2000-02-01,0.002081406675979845
2000-01-01,0.0019026533923582585
1999-12-01,0.0017632075409192303
1999-11-01,0.0016916799438538971
1999-10-01,0.0015232705763920731
1999-09-01,0.0013086419102121584
1999-08-01,0.001101981441064973
1999-07-01,0.0009743628030482916
1999-06-01,0.0009940850665017043
1999-05-01,0.0011610029942493143
1999-04-01,0.0014112424191299684
1999-03-01,0.0016815767850464874
1999-02-01,0.0019260156534638545
1999-01-01,0.0021058814798745468
1998-12-01,0.0021782253166206834
1998-11-01,0.002250806321172671
1998-10-01,0.0022851229330229316
1998-09-01,0.002288472751155241
1998-08-01,0.0022663738218058915
1998-07-01,0.002223299307279004
1998-06-01,0.002163113916957507
1998-05-01,0.0020893680004741124
1998-04-01,0.002005523548914622
1998-03-01,0.001915150683855254
1998-02-01,0.0018221131824321022
1998-01-01,0.001730743253315363
1997-12-01,0.001645979604900835
1997-11-01,0.0016403169413913199
1997-10-01,0.001565917492460189
1997-09-01,0.0014419919527756814
1997-08-01,0.001282521163711873
1997-07-01,0.0010989646812176051
1997-06-01,0.0009018705129085939
1997-05-01,0.0007024341884547839
1997-04-01,0.00051519898253966
1997-03-01,0.00036434930791195036
1997-02-01,0.00029025631585714124
1997-01-01,0.00030679824666789607
1996-12-01,0.00034883765608578494
1996-11-01,0.00037299396666928624
1996-10-01,0.00039983143844495587
1996-09-01,0.00042786538908752987
1996-08-01,0.00045581825125562837
1996-07-01,0.00048257552233832104
1996-06-01,0.0005071272450573553
1996-05-01,0.0005285087437766636
1996-04-01,0.0005457420539488172
1996-03-01,0.0005577729364123589
1996-02-01,0.0005633930869278071
1996-01-01,0.0005611286886941355
1995-12-01,0.0005490572845645175
1995-11-01,0.0005193565491516084
1995-10-01,0.0004587495800380894
